		1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32
1%GROUP1	1	1.13E+09	-3.27E+07	-1.60E+07	-3.29E+07	-4.28E+06	-4.23E+06	-2.75E+06	-4.24E+06	-4.20E+06	-2.74E+06	-4.47E+06	-4.56E+07	-7.74E+07	-7.66E+06	-5.14E+05	-1.34E+06	-1.60E+06	-1.11E+06	-1.74E+06	-1.88E+06	-1.44E+06	-2.41E+06	-2.13E+07	-9.66E+06	-2.22E+07	-2.88E+06	-3.03E+06	-1.97E+06	-3.03E+06	-3.03E+06	-2.00E+06	-3.35E+06
1%GROUP2	2	-3.27E+07	1.85E+08	-1.08E+08	-7.43E+06	-2.67E+05	-722.4	-18.98	-3.115	-250.8	-101	-198.8	-4.17E+04	-4.11E+06	-858.2	-1.74E+06	-2.72E+06	-3.08E+06	-1.98E+06	-2.93E+06	-3.23E+06	-1.87E+06	-2.81E+06	-7.36E+06	-2.67E+06	-2.10E+06	-1.00E+05	-6710	-164.1	-1833	-531.6	-319.4	-537.6
1%GROUP3	3	-1.60E+07	-1.08E+08	2.54E+08	-1.08E+08	-5.27E+05	-691.8	-0.8728	-158.9	-119.8	-63.76	-75.92	-2.43E+04	-1.97E+06	-270.9	-1.31E+06	-1.71E+06	-1.94E+06	-1.22E+06	-1.79E+06	-2.03E+06	-1.13E+06	-1.78E+06	-2.55E+06	-2.05E+06	-2.64E+06	-8.43E+04	-2368	-417.6	-1035	-234.1	-127.1	-203.8
1%GROUP4	4	-3.29E+07	-7.43E+06	-1.08E+08	1.88E+08	-7.74E+06	-5375	1834	-742.9	-479.8	-274.3	-245.1	-9.79E+04	-3.78E+06	-842	-1.13E+06	-1.92E+06	-2.20E+06	-1.44E+06	-2.07E+06	-2.29E+06	-1.37E+06	-2.02E+06	-2.07E+06	-2.72E+06	-8.26E+06	-2.00E+05	-6051	-1974	-4065	-895.9	-478.3	-661.9
1%GROUP5	5	-4.28E+06	-2.67E+05	-5.27E+05	-7.74E+06	1.77E+07	-1203	356.2	-439.3	-116.5	-66.01	-82.33	-7.30E+04	-3.84E+06	-228.5	5.69E+04	-5.00E+04	-2.20E+04	-6407	-6454	-510.1	-34.45	-260.8	-1.10E+05	-9.43E+04	-2.04E+05	-4.20E+05	-2525	-981.2	-1831	-360.4	-207.6	-280.2
1%GROUP6	6	-4.23E+06	-722.4	-691.8	-5375	-1203	1.91E+07	-8.37E+06	-6.12E+05	53.03	-205.3	-456.4	-2.96E+06	-2.48E+06	-848.4	-254.6	-683.2	-2414	517.3	-1197	-4772	5911	1088	-3811	-2124	-7697	-1987	-1.91E+05	-1.18E+05	-7.18E+04	-1830	-1144	-1138
1%GROUP7	7	-2.75E+06	-18.98	-0.8728	1834	356.2	-8.37E+06	2.32E+07	-8.19E+06	-472.9	-57.67	-86.06	-1.87E+06	-1.70E+06	-1158	108.9	29.46	1553	-1332	262.4	3508	-4843	-956.5	-1594	-1750	-2553	-1205	-1.17E+05	-1.09E+05	-7.08E+04	-694	-219.9	-640
1%GROUP8	8	-4.24E+06	-3.115	-158.9	-742.9	-439.3	-6.12E+05	-8.19E+06	1.93E+07	-600.2	-276.3	-384.7	-3.23E+06	-2.62E+06	-1661	16.87	-186.3	128.9	-599.4	-214.8	524.7	-882	-215.9	-2235	-1694	-4009	-1574	-7.07E+04	-7.13E+04	-1.56E+05	-1999	-935.4	-1311
1%GROUP9	9	-4.20E+06	-250.8	-119.8	-479.8	-116.5	53.03	-472.9	-600.2	1.93E+07	-8.21E+06	-6.21E+05	-2.94E+06	-2.51E+06	-3.96E+05	5.079	-48.91	-21.18	-106.8	-70.78	-26.22	-22.94	-32.12	-1050	-581.2	-1225	-290.2	-1096	-1068	-2163	-1.47E+05	-7.06E+04	-8.22E+04
1%GROUP10	10	-2.74E+06	-101	-63.76	-274.3	-66.01	-205.3	-57.67	-276.3	-8.21E+06	2.33E+07	-8.32E+06	-1.79E+06	-1.23E+06	-6.63E+05	-2.387	-24.08	-11.87	-47.62	-31.86	-31.58	15.55	-10.76	-593.5	-338.4	-714.6	-169.9	-545.3	-729.1	-1198	-7.04E+04	-8.19E+04	-1.03E+05
1%GROUP11	11	-4.47E+06	-198.8	-75.92	-245.1	-82.33	-456.4	-86.06	-384.7	-6.21E+05	-8.32E+06	1.90E+07	-1.08E+06	-2.83E+06	-1.21E+06	-12.26	-32.68	-16.77	-59.99	-37.54	-65.91	57.28	-5.498	-973.6	-503.7	-910.4	-250.9	-1257	-523.8	-1520	-8.43E+04	-1.04E+05	-2.36E+05
1%GROUP12	12	-4.56E+07	-4.17E+04	-2.43E+04	-9.79E+04	-7.30E+04	-2.96E+06	-1.87E+06	-3.23E+06	-2.94E+06	-1.79E+06	-1.08E+06	2.40E+08	-1.62E+08	-5.36E+05	-6161	-1.41E+04	-1.75E+04	-8948	-1.16E+04	-2917	-1741	-2708	-1.56E+05	-1.05E+05	-2.71E+05	-1.50E+05	-3.29E+06	-2.04E+06	-3.53E+06	-3.16E+06	-1.90E+06	-1.24E+06
1%GROUP13	13	-7.74E+07	-4.11E+06	-1.97E+06	-3.78E+06	-3.84E+06	-2.48E+06	-1.70E+06	-2.62E+06	-2.51E+06	-1.23E+06	-2.83E+06	-1.62E+08	3.39E+08	-2.19E+07	-1.45E+07	-1.50E+06	-3.41E+05	-1.79E+05	-1.45E+05	-7604	-6013	-8122	-4.86E+06	-2.39E+06	-4.58E+06	-4.15E+06	-2.77E+06	-1.91E+06	-2.93E+06	-2.78E+06	-1.39E+06	-3.06E+06
1%GROUP14	14	-7.66E+06	-858.2	-270.9	-842	-228.5	-848.4	-1158	-1661	-3.96E+05	-6.63E+05	-1.21E+06	-5.36E+05	-2.19E+07	3.53E+07	-43.96	-149.7	-117.2	-184.4	-158.1	-204.3	50.94	-111.2	-4232	-2131	-3972	-918.7	-3761	-2869	-5835	-4.75E+05	-7.23E+05	-1.31E+06
1%GROUP15	15	-5.14E+05	-1.74E+06	-1.31E+06	-1.13E+06	5.69E+04	-254.6	108.9	16.87	5.079	-2.387	-12.26	-6161	-1.45E+07	-43.96	3.61E+07	-1.27E+07	-1.82E+04	-2.70E+04	-1.52E+04	-320.1	13.13	-140.8	-1.76E+06	-1.32E+06	-1.14E+06	5.23E+04	-600.8	52.69	-149.4	-32.15	-24.82	-42.52
1%GROUP16	16	-1.34E+06	-2.72E+06	-1.71E+06	-1.92E+06	-5.00E+04	-683.2	29.46	-186.3	-48.91	-24.08	-32.68	-1.41E+04	-1.50E+06	-149.7	-1.27E+07	2.91E+07	-4.63E+05	3.67E+04	-4.01E+04	-849	-88.8	-501.3	-2.79E+06	-1.75E+06	-1.97E+06	-6.29E+04	-335	-932.5	-815.3	-176.7	-103.3	-143.6
1%GROUP17	17	-1.60E+06	-3.08E+06	-1.94E+06	-2.20E+06	-2.20E+04	-2414	1553	128.9	-21.18	-11.87	-16.77	-1.75E+04	-3.41E+05	-117.2	-1.82E+04	-4.63E+05	2.96E+07	-1.21E+07	-2.84E+05	-1412	5513	851.8	-3.18E+06	-1.98E+06	-2.27E+06	-2.69E+04	-1861	851.7	-186.8	-92.49	-60.94	-90.45
1%GROUP18	18	-1.11E+06	-1.98E+06	-1.22E+06	-1.44E+06	-6407	517.3	-1332	-599.4	-106.8	-47.62	-59.99	-8948	-1.79E+05	-184.4	-2.70E+04	3.67E+04	-1.21E+07	3.58E+07	-1.29E+07	-5133	-1542	-1479	-2.04E+06	-1.25E+06	-1.49E+06	-1.81E+04	940.3	-2753	-1614	-303.8	-164.5	-223.2
1%GROUP19	19	-1.74E+06	-2.93E+06	-1.79E+06	-2.07E+06	-6454	-1197	262.4	-214.8	-70.78	-31.86	-37.54	-1.16E+04	-1.45E+05	-158.1	-1.52E+04	-4.01E+04	-2.84E+05	-1.29E+07	2.90E+07	-4164	-1102	-1794	-3.04E+06	-1.84E+06	-2.15E+06	-1.44E+04	-474.6	-942.3	-909.6	-215.7	-122.1	-168.9
1%GROUP20	20	-1.88E+06	-3.23E+06	-2.03E+06	-2.29E+06	-510.1	-4772	3508	524.7	-26.22	-31.58	-65.91	-2917	-7604	-204.3	-320.1	-849	-1412	-5133	-4164	2.99E+07	-1.22E+07	-3.85E+05	-3.32E+06	-2.07E+06	-2.36E+06	-729.5	-3516	2684	393.4	-59.35	-56.46	-125.3
1%GROUP21	21	-1.44E+06	-1.87E+06	-1.13E+06	-1.37E+06	-34.45	5911	-4843	-882	-22.94	15.55	57.28	-1741	-6013	50.94	13.13	-88.8	5513	-1542	-1102	-1.22E+07	3.55E+07	-1.29E+07	-1.94E+06	-1.17E+06	-1.42E+06	-1289	4489	-4342	-1133	-120.6	-41.53	-8.853
1%GROUP22	22	-2.41E+06	-2.81E+06	-1.78E+06	-2.02E+06	-260.8	1088	-956.5	-215.9	-32.12	-10.76	-5.498	-2708	-8122	-111.2	-140.8	-501.3	851.8	-1479	-1794	-3.85E+05	-1.29E+07	2.93E+07	-2.91E+06	-1.82E+06	-2.10E+06	-1222	584.4	-959.2	-421	-130	-72.23	-98.9
1%GROUP23	23	-2.13E+07	-7.36E+06	-2.55E+06	-2.07E+06	-1.10E+05	-3811	-1594	-2235	-1050	-593.5	-973.6	-1.56E+05	-4.86E+06	-4232	-1.76E+06	-2.79E+06	-3.18E+06	-2.04E+06	-3.04E+06	-3.32E+06	-1.94E+06	-2.91E+06	1.81E+08	-1.09E+08	-1.01E+07	-4.85E+05	-1.77E+04	-7825	-1.17E+04	-3950	-2416	-3617
1%GROUP24	24	-9.66E+06	-2.67E+06	-2.05E+06	-2.72E+06	-9.43E+04	-2124	-1750	-1694	-581.2	-338.4	-503.7	-1.05E+05	-2.39E+06	-2131	-1.32E+06	-1.75E+06	-1.98E+06	-1.25E+06	-1.84E+06	-2.07E+06	-1.17E+06	-1.82E+06	-1.09E+08	2.53E+08	-1.09E+08	-6.68E+05	-9791	-5411	-7228	-2093	-1268	-1870
